Song
"Jonathan McReynolds – Not Lucky, I’m Loved"
Todd Dulaney – Victory Belongs to Jesus
Bri Babineaux – Jacob’s Song
Ada Ehi – Only You Jesus
Travis Greene – Intentional
James Fortune – I Trust You
Tye Tribbett – What Can I Do
Tye Tribbett – He Turned It
Kirk Franklin – A God Like You
Kirk Franklin – I Smile
Mary Mary – Go Get It
Isaac Carree – In the Middle
Kirk Franklin – Looking for You
Kirk Franklin – Love Theory
Jekalyn Carr – You Will Win
Charles Jenkins – Awesome
Hezekiah Walker – Better
Hezekiah Walker – Grateful
Hezekiah Walker – Every Praise
Fred Hammond – We’re Blessed
JJ Hairston & Youthful Praise – You Deserve It
Marvin Sapp – Praise Him in Advance
Travis Greene – Made a Way
Sinach – Way Maker
Mali Music – Yahweh
